	id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	conv_4	conv_5
0	dagstuhl-10	0,1	0	0	0	0	0	1	1	0
1	dagstuhl-10	0,2	2	2	2	1	2	1	2	1
2	dagstuhl-10	1,3	0	2	0	2	0	2	2	2
3	dagstuhl-10	2,3	1	1	1	2	1	2	2	2
4	dagstuhl-102	0,2	2	2	2	1	2	2	1	2
5	dagstuhl-102	1,0	1	1	1	1	1	1	1	1
6	dagstuhl-102	1,3	1	1	1	1	1	2	1	1
7	dagstuhl-102	2,3	1	1	1	1	1	1	1	1
8	dagstuhl-103	0,2	2	2	2	2	2	2	2	2
9	dagstuhl-103	1,0	1	1	1	1	1	1	1	1
10	dagstuhl-103	1,3	1	1	1	1	1	1	1	1
11	dagstuhl-103	2,3	1	1	1	1	1	1	1	1
12	dagstuhl-110	0,1	2	1	2	1	2	1	1	1
13	dagstuhl-110	0,2	2	1	2	2	2	1	2	1
14	dagstuhl-110	1,3	1	2	1	2	1	2	1	1
15	dagstuhl-110	2,3	1	1	1	1	1	1	1	1
16	dagstuhl-116	0,2	2	2	2	2	2	2	2	2
17	dagstuhl-116	1,0	1	1	1	1	1	1	1	1
18	dagstuhl-116	1,3	1	1	1	1	1	2	2	2
19	dagstuhl-116	2,3	1	1	1	1	1	1	1	1
20	dagstuhl-12	0,1	0	0	0	0	0	0	0	0
21	dagstuhl-12	0,2	2	1	2	1	2	2	1	2
22	dagstuhl-12	1,3	0	0	0	0	0	0	0	0
23	dagstuhl-12	2,3	1	1	1	1	1	1	1	1
24	dagstuhl-14	0,2	2	2	2	2	2	2	2	2
25	dagstuhl-14	1,0	1	1	1	1	1	1	1	1
26	dagstuhl-14	1,3	0	1	1	1	1	1	1	1
27	dagstuhl-14	2,3	1	1	1	1	1	1	1	1
28	dagstuhl-17	0,1	1	2	2	1	2	2	2	1
29	dagstuhl-17	0,2	2	2	2	2	2	1	2	2
30	dagstuhl-17	1,3	1	1	1	1	1	1	1	1
31	dagstuhl-17	2,3	1	1	1	1	1	1	1	1
32	dagstuhl-189	0,2	2	2	2	2	2	2	2	2
33	dagstuhl-189	1,0	0	2	0	2	0	2	2	2
34	dagstuhl-189	1,3	0	2	0	2	0	2	2	2
35	dagstuhl-189	2,3	1	1	1	1	1	1	1	1
36	dagstuhl-193	0,2	2	1	2	1	2	1	1	1
37	dagstuhl-193	1,0	0	2	0	2	0	2	2	2
