id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	emo_4	conv_4	emo_5	conv_5
dagstuhl-10	0,1	0	0	"0
2"	"0
2"	"0
2"	"0
1
2"	"0
1"	"0
1"	"1. 0
2. 2"	"0
2"
dagstuhl-10	0,2	"0
1"	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"	"0
1"	"0
1"	0	"0
2"
dagstuhl-10	1,3	"0
1
2"	"0
1"	"0
1"	0	"0
2"	"0
1"	0	"0
2"	"0
1
2"	"0
1
2"
dagstuhl-10	2,3	"0
1"	0	"1 (2)
2 (1)"	"0
1"	0	"0
2"	0	"0
1"	"0
2"	"0
2"
dagstuhl-102	0,2	"1. 0
2. 1"	"0
2"	"1. 1
2. 0"	0	"0
2"	"0
2"	0	0	0	"0
2"
dagstuhl-102	1,0	"Argument 1: 2
Argument 2"	0	0	0	"Argument 1: 2
Argument 2"	0	"1
2"	"Argument 1: 0
Argument 2"	"1. 2
2. 1"	"0
2"
dagstuhl-102	1,3	0	"0
2"	"0
2"	0	"Argument 1: 2
Argument 2"	"Argument 1:
2

Argument 2:"	"0
2"	"0
2"	"1. 2
2. 1"	"0
1"
dagstuhl-102	2,3	"0
1"	"0
1"	0	"0
2"	"0
2"	"0
1"	"0
1"	"0
1"	"0
1"	0
dagstuhl-103	0,2	"1. 1
2. 2"	0	"0
1"	"0
1"	0	0	0	0	0	0
dagstuhl-103	1,0	0	0	"1
2"	"Argument 1: 2
Argument 2"	0	"0
1"	"0
1"	"0
1"	0	0
dagstuhl-103	1,3	"Argument 1: 1
Argument 2"	"0
1"	0	"0
2"	0	"Argument 1:
0
Argument 2:"	0	0	"1. 0
2. 1"	"Argument 1:
0
Argument 2:"
dagstuhl-103	2,3	"0
1"	0	0	"0
2"	"0
2"	0	"0
2"	0	"0
2"	0
dagstuhl-110	0,1	"1. 1
2. 0"	"0
2"	0	"0
1"	"0
2"	0	"1. 0
2. 1"	"0
1"	0	0
dagstuhl-110	0,2	"0
1"	"0
2"	"0
2"	"Argument 1: 0
Argument 2"	"1. 0
2. 2"	"0
2"	0	"0
1"	"0
1
2"	"0
1
2"
dagstuhl-110	1,3	"0
2"	0	"0
2"	"0
1"	0	"0
1"	0	"0
2"	0	0
dagstuhl-110	2,3	"0
2"	"0
2"	"0
1"	"0
1
2"	0	"0
2"	"0
1"	0	"0
2"	"0
2"
dagstuhl-116	0,2	"0
1"	"0
1"	0	"0
1"	"1. 2
2. 0"	"0
2"	"0
2"	"Argument 1: 2
Argument 2"	"0
1"	"Argument 2
0"
dagstuhl-116	1,0	0	0	"1 (2)
0"	0	"0
1"	"0
1"	0	0	"1 (2)
2 (1)"	0
dagstuhl-116	1,3	"0
2"	"Argument 1: 2
Argument 2"	"0
1"	"0
1"	"0
2"	0	"1. 0
2. 2"	"0
1"	"0
2"	0
dagstuhl-116	2,3	0	"0
2"	"0
2"	0	"1. 0
2. 1"	0	"0
1"	"0
2"	0	0
dagstuhl-12	0,1	"0
1"	"0
1"	0	"0
1
2"	"0
1"	"Argument 1: 0
Argument 2"	0	"0
1"	"0
2"	"0
2"
dagstuhl-12	0,2	0	"0
2"	"0
2"	"0
1"	"0
1"	"0
2"	0	"0
1"	"0
2"	"0
1"
dagstuhl-12	1,3	0	"0
2"	0	"0
2"	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"	"0
1"
dagstuhl-12	2,3	0	"0
1"	0	"0
1
2"	"1. 1
2. 0"	"0
2"	0	"0
2"	0	0
dagstuhl-14	0,2	0	0	"0
2"	"0
2"	0	"0
2"	"0
1
2"	"0
1
2"	"0
1
2"	"0
2"
dagstuhl-14	1,0	"0
2"	"0
1
2"	0	"0
2"	0	"0
1"	"0
2"	0	"1. 0
2. 2"	"0
1"
dagstuhl-14	1,3	"1. 0
2. 1"	"0
1
2"	"0
2"	"0
2"	"0
2"	"Argument 1: 0
Argument 2"	"0
1
2"	"0
2"	"0
1"	"0
2"
dagstuhl-14	2,3	0	"0
2"	0	"0
1
2"	"1. 2
2. 0"	"0
1"	"1. 0
2. 1"	0	0	"0
2"
dagstuhl-17	0,1	0	"0
1"	0	"0
2"	"0
1"	"0
1"	0	"Argument 1: 0
Argument 2"	"0
1"	"0
1"
dagstuhl-17	0,2	"1. 2
2. 1"	"0
1"	0	"0
2"	"0
1
2"	0	"0
2"	"0
1"	0	"0
2"
dagstuhl-17	1,3	"0
1"	"0
2"	0	"0
1"	0	"0
1
2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1
2"	"0
2"
dagstuhl-17	2,3	"0
2"	0	"0
1"	0	0	"0
1"	0	"0
1"	"0
1"	"0
2"
dagstuhl-189	0,2	0	"0
1"	"0
2"	"0
1"	0	"0
1"	"0
1
2"	"0
1"	"0
2"	0
dagstuhl-189	1,0	"0
1"	"Argument 1: 1
Argument 2"	0	"0
1"	"0
1"	"0
1"	"Argument 1: 2
Argument 2"	"Argument 1: 1
Argument 2"	"Argument 1: 1
Argument 2"	"Argument 1: 0
Argument 2"
dagstuhl-189	1,3	"Argument 1: 0
Argument 2"	"0
2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"0
1
2"	"Argument 1: 0
Argument 2"	"Argument 1: 2
Argument 2"	"1. 0
2. 1"	"0
2"
dagstuhl-189	2,3	"0
2"	"Argument 1: 2
Argument 2"	"0
2"	"Argument 1:
0
Argument 2:"	"Argument 1: 2
Argument 2"	"Argument 1: 0
Argument 2"	0	"Argument 1: 2
Argument 2"	0	0
dagstuhl-193	0,2	0	"0
2"	"1. 0
2. 2"	0	0	0	"0
2"	"0
1"	0	"0
1
2"
dagstuhl-193	1,0	0	"Argument 1: 1
Argument 2"	"0
1"	"0
2"	"0
2"	"0
2"	"0
2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1"
dagstuhl-193	1,3	"Argument 1: 1
Argument 2"	"Argument 1: 0
Argument 2"	"1. 0
2. 2"	"Argument 1: 0
Argument 2"	"Argument 1: 1
Argument 2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1"
dagstuhl-193	2,3	0	0	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"0
1"	0	"0
1"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"0
2"
dagstuhl-195	0,1	"0
1"	"0
1"	0	"0
1"	"0
2"	"0
1"	0	"0
1"	"0
1
2"	"0
2"
dagstuhl-195	0,2	"0
1
2"	0	0	"0
1"	"0
2"	"0
1"	0	0	"0
2"	"0
1"
dagstuhl-195	1,3	"0
2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"0
1"	0	"Argument 1: 0
Argument 2"	0	"0
2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"
dagstuhl-195	2,3	0	"Argument 1: 1
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1: 0
Argument 2"	0	"0
2"	"0
1"	"0
1"	"0
1"	"0
1"
dagstuhl-197	0,1	"1 (1)
2"	0	"0
2"	0	"0
1"	"0
2"	"1. 0
2. 2"	"0
1"	"0
1
2"	0
dagstuhl-197	0,2	"0
2"	0	0	"0
1
2"	0	0	"1. 0
2. 2"	0	0	0
dagstuhl-197	1,3	0	0	0	"Argument 1:
0

Argument 2:"	"1. 1
2. 2"	0	"0
1"	0	"1 (1)
2 (2)"	"0
1"
dagstuhl-197	2,3	"0
2"	"0
2"	"1. 2
2. 0"	0	0	0	0	0	0	0
dagstuhl-198	0,1	"0
1"	"0
1"	0	"0
2"	"0
2"	"0
2"	0	"0
1"	"0
2"	0
dagstuhl-198	0,2	0	0	"1. 2
2. 1"	"0
1
2"	0	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"
dagstuhl-198	1,3	"0
1"	"0
1"	"0
1"	"0
1"	0	"Argument 1: 0
Argument 2"	"Argument 1: 2
Argument 2"	"0
1"	"Argument 1: 2
Argument 2"	"0
1"
dagstuhl-198	2,3	0	0	"0
2"	"0
1"	"0
2"	0	"0
2"	"Argument 1: 0
Argument 2"	"0
2"	"0
2"
